Name,Combo SKU Code,Combo Package Dimensions,Combo Product Weight,Combo Product Category,Combo Color,Combo Size,Combo Brand,Combo Selling Price,Combo Shipping Mode,Combo Image Url,HSN Code,GST Tax Name,Combo Sync Mode,Combo Qty Stock,Combo MRP,Calculated Last Purchase Price,Date Created,Child SKU Code 1,Child SKU Qty 1,Child SKU Price 1,Child SKU Code 2,Child SKU Qty 2,Child SKU Price 2,Child SKU Code 3,Child SKU Qty 3,Child SKU Price 3,Child SKU Code 4,Child SKU Qty 4,Child SKU Price 4,Child SKU Code 5,Child SKU Qty 5,Child SKU Price 5,Child SKU Code 6,Child SKU Qty 6,Child SKU Price 6,Child SKU Code 7,Child SKU Qty 7,Child SKU Price 7,Child SKU Code 8,Child SKU Qty 8,Child SKU Price 8,Child SKU Code 9,Child SKU Qty 9,Child SKU Price 9,Child SKU Code 10,Child SKU Qty 10,Child SKU Price 10
"TOP PAINT COMBO","1144YKCMB5012-M","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","636.00","July 10, 2020 04:43:36 PM","1144YKWHITE-M","1","577.00","5012YKPINK-M","1","297.00"
"TOP PAINT COMBO","1144YKCMB5012-L","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","636.00","July 10, 2020 04:43:54 PM","1144YKWHITE-L","1","577.00","5012YKPINK-L","1","297.00"
"TOP PAINT COMBO","1144YKCMB5012-XL","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","636.00","July 10, 2020 04:44:14 PM","1144YKWHITE-XL","1","577.00","5012YKPINK-XL","1","297.00"
"TOP PAINT COMBO","1144YKCMB5012-XXL","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","702.00","July 10, 2020 04:46:28 PM","1144YKWHITE-XXL","1","577.00","5012YKPINK-XXL","1","1.00"
"TOP PAINT COMBO","1119YKCMB5010-S","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","647.00","July 10, 2020 04:51:48 PM","1119YKBLUE-S","1","347.00","5010YKWHITE-S","1","1.00"
"TOP PAINT COMBO","1119YKCMB5010-M","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","2","0.00","647.00","July 10, 2020 04:52:59 PM","1119YKBLUE-M","1","347.00","5010YKWHITE-M","1","1.00"
"TOP PAINT COMBO","1119YKCMB5010-L","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","647.00","July 10, 2020 04:53:42 PM","1119YKBLUE-L","1","347.00","5010YKWHITE-L","1","1.00"
"TOP PAINT COMBO","1119YKCMB5010-XL","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","647.00","July 10, 2020 04:54:32 PM","1119YKBLUE-XL","1","347.00","5010YKWHITE-XL","1","1.00"
"TOP PAINT COMBO","1119YKCMB5010-XXL","22.0000x20.0000x1.5000","400","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","713.00","July 10, 2020 04:55:14 PM","1119YKBLUE-XXL","1","347.00","5010YKWHITE-XXL","1","319.00"
"TOP PAINT COMBO","1141YKCMB5012-M","22.0000x20.0000x1.5000","450","Kurti","","","","0.00","0","","61041100","'GST5-12 to 5 &18%","","0","0.00","702.00","July 27, 2020 08:40:56 PM","1141YKSKYBLUE-M","1","450.00","5012YKPINK-M","1","297.00"
